Tree,X,Y,Type,Caliper_DBH,Corteza Rugosa,1,2,3,4,5,6,7,8,9,10,Media,RANSAC_DBH,1,2,3,4,5,6,7,8,9,10,Media,Monte Carlo_DBH,Optimal Circle_DBH,,,
128,448055.147,4432114.263,DBH < 10 cm.,0.054,0,,,,,,,,,,,,0.000,,,,,,,,,,,,0.000,0.000,,,
129,448058.792,4432118.818,ok,0.475,0,,,,,,,,,,,,0.490,,,,,,,,,,,,0.467,0.460,,,
130,448054.091,4432118.898,ok,0.325,1,,,,,,,,,,,,0.352,,,,,,,,,,,,0.279,0.268,,,
131,448051.665,4432116.093,ok,0.341,1,,,,,,,,,,,,0.352,,,,,,,,,,,,0.331,0.320,,,
133,448065.752,4432125.859,ok,0.315,1,,,,,,,,,,,,0.360,,,,,,,,,,,,0.359,0.338,,,
134,448067.166,4432117.132,ok,0.247,1,,,,,,,,,,,,0.246,,,,,,,,,,,,0.219,0.218,,,
136,448084.563,4432127.095,ok,0.524,1,,,,,,,,,,,,0.522,,,,,,,,,,,,0.580,0.572,,,
137,448088.465,4432131.630,ok,0.515,0,,,,,,,,,,,,0.538,,,,,,,,,,,,0.518,0.471,,,
138,448086.301,4432133.973,DBH < 10 cm.,0.060,0,,,,,,,,,,,,0.000,,,,,,,,,,,,0.000,0.000,,,
139,448089.232,4432123.466,ok,0.252,0,,,,,,,,,,,,0.200,,,,,,,,,,,,0.219,0.228,,,
140,448093.173,4432120.421,ok,0.249,0,,,,,,,,,,,,0.244,,,,,,,,,,,,0.205,0.187,,,
141,448096.553,4432117.489,ok,0.395,1,,,,,,,,,,,,0.308,,,,,,,,,,,,0.330,0.279,,,
142,448099.576,4432114.877,ok,0.362,1,,,,,,,,,,,,0.260,,,,,,,,,,,,0.281,0.266,,,
143,448102.927,4432112.075,ok,0.323,1,,,,,,,,,,,,0.276,,,,,,,,,,,,0.279,0.251,,,
144,448107.080,4432108.507,ok,0.373,1,,,,,,,,,,,,0.350,,,,,,,,,,,,0.365,0.332,,,
145,448112.367,4432104.299,ok,0.364,1,,,,,,,,,,,,0.312,,,,,,,,,,,,0.330,0.309,,,
146,448117.880,4432099.775,ok,0.265,1,,,,,,,,,,,,0.270,,,,,,,,,,,,0.257,0.236,,,
148,448125.369,4432092.955,ok,0.176,1,,,,,,,,,,,,0.160,,,,,,,,,,,,0.185,0.178,,,
149,448128.536,4432091.479,ok,0.400,1,,,,,,,,,,,,0.452,,,,,,,,,,,,0.399,0.397,,,
150,448126.719,4432096.133,ok,0.530,1,,,,,,,,,,,,0.478,,,,,,,,,,,,0.541,0.543,,,
151,448126.308,4432101.018,ok,0.412,1,,,,,,,,,,,,0.420,,,,,,,,,,,,0.411,0.411,,,
152,448131.841,4432093.369,ok,0.347,1,,,,,,,,,,,,0.330,,,,,,,,,,,,0.325,0.324,,,
153,448131.121,4432097.736,ok,0.241,1,,,,,,,,,,,,0.240,,,,,,,,,,,,0.234,0.232,,,
154,448129.702,4432102.832,ok,0.317,1,,,,,,,,,,,,0.260,,,,,,,,,,,,0.287,0.277,,,
